job_url;title;company;description;niveau_etudes;niveau_experience;contrat;region;competences;publication_date;via;titre_homogene;secteur;niveau_qualification
;Senior Instrumentation Engineer | Benguerir (Maroc);;Job Description: As part of the CRSA's directives, you will be responsible, as a senior instrumentation engineer, for the design, implementation, and monitoring of measurement and control systems. You will be involved in all technical phases, from...;Bac +5 et plus;De 5 à 10 ans;CDI - Télétravail : Non;;strong skills in data processing and numerical analysis (matlab, r, python, or equivalent).;2025-04-11;Rekrute;Ingénieur Instrumentation Senior;Énergie;3
;Senior Internal Auditor | Casablanca - EL Jadida (Maroc);;COBCO was established in 2023 through a joint venture between the Chinese group CNGR, a global leader in the production of materials for electric vehicle batteries, and the AL MADA group, one of the largest private investment funds in Africa. The company...;Bac +5 et plus;De 5 à 10 ans - De 10 à 20 ans;CDI - Télétravail : Non;;promote a culture of continuous improvement within the audit function. recommend changes to audit processes, tools, and techniques to increase efficiency and effectiveness. data analytics and technology use;2025-04-11;Rekrute;Auditeur Interne Senior;Finance;3
;DATA Analyst - Contrôle de Gestion H/F | Rabat (Maroc);;Rattaché(e) à la Direction de Pilotage de la Performance, vous aurez pour mission l'analyse et l'interprétation des données financières et opérationnelles pour soutenir les processus de prise de...;Bac +5 et plus;De 3 à 5 ans;CDI - Télétravail : Non;;;2025-04-10;Rekrute;Analyste Data;Informatique;3
;Directeur Achats & Supply Chain (H/F) | Casablanca (Maroc);;En tant que pilier stratégique de l’organisation, vous avez pour mission de structurer, transformer et positionner la fonction Achats & Supply Chain comme un centre de profits. Avec plus de 300 millions d’achats par an, vous piloterez...;Bac +5 et plus;De 5 à 10 ans - De 10 à 20 ans;CDI - Télétravail : Non;;capacité à anticiper et gérer les risques supply chain, avec une approche data-driven et décisionnelle.;2025-04-10;Rekrute;Directeur Achats et Supply Chain;Logistique;4
;Tech Lead DATA | Rabat (Maroc);;The reporting factory team is responsible for : Operational maintenance of the different existing reports for Workplace and Network (more than 30) Managing requests for these reports (new releases, changes, access) Maintaining the operation of...;Bac +4;De 5 à 10 ans;CDI - Télétravail : Hybride;;;2025-04-10;Rekrute;Tech Lead Data;Informatique;3
;Pentester (H/ F) | Rabat (Maroc);;The Penetration Testing Service is responsible for: • Executing web application penetration tests to identify vulnerabilities such as input validation issues, authentication flaws, and access control issues. • Assessing web applications against...;Bac +5 et plus;De 1 à 3 ans;CDI - Télétravail : Hybride;;• bachelor’s or master’s degree in computer science, information technology, or a related field. • expertise with security assessment methodologies such as risk assessment, vulnerability assessment, and threat modeling. • at least 1-3 years of expertise in penetration testing and vulnerability assessments. • relevant certifications related to penetration testing. • it security expertise. • ability to gather and analyze data and translate it into actionable insights. • ability to work well in a team and cross-functional environment. • ability to work with diverse cultures and environments. languages environment • english environment – mandatory. • french environment – optional.;2025-04-09;Rekrute;Pentester Sécurité;Cybersecurity;4
;Service Delivery Officer (H/ F) | Rabat (Maroc);;Vous aurez comme principale mission: Administer the various IT change management committees (Change Advisory Board) undergoing evolution and improvement in 2025. Ensure proper declaration of changes in the Tribe CAB and verify compliance with...;Bac +5 et plus;De 3 à 5 ans;CDI - Télétravail : Hybride;;• recognition for initiative, interpersonal expertise, observational expertise, composure, responsiveness, and leadership. • enjoyment in taking on challenges while also being able to challenge peers. • strong demonstrated expertise in analysis and problem-solving. • a minimum of 2 years of expertise in service quality, sdm, level 2 or 3 support, business analysis, product ownership, or project management roles. • significant expertise in the field of it, specifically in electronic document management. • a customer-oriented approach and the ability to engage contributors in project mode as a facilitator. • a good level of english to interact during incident conferences. the consultant service should be familiar with: • concepts in ged, document management, web services, and networking. • concepts in databases (bdd). • soapui. • kibana. • production and analysis of kpis (powerbi...). • service now, jira (jsql). • english (proficiency for incident management). • office suite, particularly excel and its advanced functions. • incident management. • project expertise (build);2025-04-09;Rekrute;Officier de Service;TIC;3
;Modelador BIM (Revit MEP) | Tétouan (Maroc);;Dominio técnico avanzado de Revit MEP, con capacidad para: • Modelar y parametrizar familias complejas, incluyendo el uso de parámetros compartidos, tipos anidados y configuraciones detalladas de visibilidad. •...;Bac +3;De 1 à 3 ans;CDI - Télétravail : Hybride;;;2025-04-09;Rekrute;Modelleur BIM;Construction;2
;Architecte (H/F) | Casablanca (Maroc);;Conception d'Architectures Techniques : Analyser les besoins techniques et concevoir des solutions performantes. Rédiger et valider le dossier d'architecture technique (DAT). Valider les choix techniques et réaliser des...;Bac +5 et plus;De 5 à 10 ans;CDI - Télétravail : Hybride;;expérience avec spring (boot, data jpa, security, cloud [config server, eureka, gateway, zipkin], docker compose).;2025-04-08;Rekrute;Architecte;Informatique;3
;Ingénieur Réseau Sécurité | Casablanca (Maroc);;Administration/exploitation fonctionnelle et technique des solutions/infrastructures/ services réseau, sécurité et télécom. Documentation technique des infrastructures gérées Gestion des incidents, gestion...;Bac +5 et plus;De 1 à 3 ans - De 3 à 5 ans;CDI - Télétravail : Hybride;;bonne connaissance des équipements cisco (nexus / catalyst / asr) maîtrise du routage statique et dynamique (eigrp/ bgp / ospf / mpls / ...) bonne connaissance des solutions de sécurité ( configuration des firewall , proxy web) forte expertise dans un ou plusieurs domaine(s) technique(s) télécom, réseaux ou datacenter aptitudes comportementales :;2025-04-08;Rekrute;Ingénieur Réseau;Télécommunications;2
;Financial Controlling Analyst | Sala al Jadida (Maroc);;MISSION Operations Financial Controller mission is to manage in the timely manner, the financial processes (closing/budgeting and Forecast) and to guarantee understandable, accurate and complete analytical data aligned with the finance processes and...;Bac +4;De 1 à 3 ans - De 3 à 5 ans;CDI - Télétravail : Hybride;;profile • bac+5 with financial background with 2-4 years proven experience in international environment • knowledge of accounting and controlling principles • organized, respecting deadlines, planning & autonomy • analytical skills, ability to synthesize complex data • rigorous, accurate and can assure quality of data provided • priority management • collaborative, open minded, transparent, at ease with global, multicultural environment;2025-04-08;Rekrute;Analyste Financier;Finance;5
;Proxy PO BigDATA | Casablanca (Maroc);;Dans le cadre de notre centre de services international à Casablanca nous recrutons un PO Proxy sur une activité BigData Vous serez amené dans le cadre d’un projet agile à: • Animer des ateliers avec les...;Bac +5 et plus;De 3 à 5 ans;CDI - Télétravail : Hybride;;de formation supérieure en informatique, vous disposez d’une expérience de 5 ans et plus au sein de projet de développement, idéalement des projets bigdata.;2025-04-08;Rekrute;PO Proxy BigData;Informatique;5
;DATA Analyst (H/F) | Fès (Maroc);;Nous recherchons un(e) Data Analyst junior passionné(e) pour rejoindre notre équipe. Il/elle sera responsable de : Conception et déploiement des systèmes d'IA. Modélisation avancée pour résoudre...;Bac +5 et plus;Moins de 1 an - De 1 à 3 ans;CDI - Télétravail : Hybride;;;2025-04-08;Rekrute;Analyste Data;Informatique;2
;Responsable Analyse des Données, Reporting et Suivi des Performances | Rabat (Maroc);;"Nous recherchons un profil au poste de ""Responsable Analyse des Données, Reporting et Suivi des Performances"". Ses principales missions : • Mettre en place des normes de gouvernance, de qualité et de sécurité...";Bac +5 et plus;De 3 à 5 ans - De 5 à 10 ans;CDI - Télétravail : Non;;• diplôme d’ingénieur d’etat (ou équivalent) ou bac+5 en data engineering/data science (ou équivalent). • expérience significative (plus de 3 ans) dans des postes de gestion et analyse des données. • expérience avec des plateformes big data. • expérience avec business object et sap. • expérience dans l’élaboration de politiques et normes pour garantir la qualité, la sécurité, et l’interopérabilité des données à l’échelle de l’organisation. • connaissance des frameworks de gestion des données. • connaissance des réglementations et normes en la matière (lois, iso 27001,…). • capacité à travailler en étroite collaboration avec d’autres services pour intégrer les solutions et assurer leur bon fonctionnement. • capacité à s'adapter aux évolutions technologiques.;2025-04-05;Rekrute;Responsable Analyse et Reporting;Informatique;4
;DATA Analyst senior SQL | Rabat (Maroc);;Nous travaillons avec les équipes business, product management et design pour concevoir des outils ergonomiques et fiables. Nous recherchons un Data Analyst Senior passionné et expérimenté dans l'analyse de données...;Bac +5 et plus;De 5 à 10 ans;CDI - Télétravail : Hybride;;bonne maîtrise des bases de données sql / nosql (dbl, postgresql, mongodb…) excellente maîtrise de sql et expérience avec bigquery. expertise dans la création et l’optimisation de dashboards sous looker studio. excellente communication écrite et orale : aptitude à produire des livrables et des reportings de haute qualité. expertise en python (pandas, numpy, pyspark…) esprit d'analyse et d'amélioration continue : capacité à évaluer le code et ses impacts, ainsi qu'à remettre en question les solutions existantes pour les améliorer. compréhension des principes devops et cloud (aws, gcp, azure) connaissance des architectures data modernes (data lake, data warehouse) capacité de prise de recul : aptitude à évaluer les problématiques avec objectivité et à proposer des solutions d'amélioration. esprit d'équipe : capacité à collaborer efficacement avec les membres de l'équipe pour atteindre des objectifs communs. maîtrise des concepts d’agilité (scrum, sprint planning, backlog…). capacité à travailler de manière autonome et à gérer son temps efficacement. gestion des versions et ci/cd avec gitlab ci;2025-04-04;Rekrute;Data Analyst Senior;Informatique;3
;Senior Product Owner / Manager | Casablanca (Maroc);;As a Senior Product Owner/Manager at InnovX, you will be responsible for leading the development and execution of our Agritech product strategy. You will collaborate with cross-functional teams, including engineers, designers, and agronomists, to deliver...;Bac +5 et plus;De 5 à 10 ans - De 10 à 20 ans;CDI - Télétravail : Hybride;;qualifications: • experience: 7+ years of experience in product management or ownership, with a significant focus on agritech products. • agriculture knowledge: deep understanding of the agriculture industry, including knowledge of farming practices and technology trends. • product leadership: proven ability to lead cross-functional product teams and drive product development from concept to launch. • customer-centric: strong customer empathy and the ability to translate customer needs into product features. • data-driven: comfortable with data analysis and using data to inform product decisions. • agile methodology: experience with agile development methodologies and tools. • communication: excellent communication and interpersonal skills. • problem solver: strong problem-solving skills and the ability to adapt in a rapidly changing environment. • education: bachelor's or master's degree in agriculture, agronomy, business, or a related field.;2025-04-04;Rekrute;Product Owner/Manager;Agritech;4
;Operations Engineer - Mining Operations Lab | Benguerir (Maroc);;Missions : • Veiller à l’atteinte des objectifs de production (tonnage, qualité, récupération). • Piloter la performance globale du site. • Opérer dans l’excellence en mettant en place les...;Bac +5 et plus;De 3 à 5 ans - De 5 à 10 ans;CDI - Télétravail : Hybride;;• planification minière (court, moyen et long terme) • géologie, géotechnique • gestion des entreprises et des contrats • planification des investissements • systèmes de maintenance et de gestion des actifs • suivi et pilotage de la production via un erp • data management • risk management • quality management • gestion de la performance • leadership • communication • manipulation des outils de planification minière;2025-04-04;Rekrute;Ingénieur des Opérations;Énergie et Ressources;4
;Technical Account Manager | Casablanca (Maroc);;Mission : Assurer une relation technique proactive et personnalisée avec les clients et partenaires de la Data Marketplace, en veillant à leur satisfaction et à leur succès continu dans l'utilisation de la plateforme, et en...;Bac +5 et plus;De 3 à 5 ans - De 5 à 10 ans;CDI - Télétravail : Non;;bac +5 en ecole d’ingénieur ou équivalent universitaire avec une spécialisation en data expérience : expérience professionnelle de 3 à 8 en en gestion de compte technique ou en support technique, dans un environnement saas ou data-driven;2025-04-04;Rekrute;Gestionnaire de Compte Technique;TIC et Services;5
;IT Tech Team Lead H/F | Rabat (Maroc);;Manage locally a team of High-tech resources working in teams and pods to deliver high value programs Coordinate with hiring managers, supervise, organize your scope to ensure performance and consistency targets are met Contribute in the selection...;Bac +4;De 3 à 5 ans;CDI - Télétravail : Non;;bachelor education level in an advanced it field (preferably development, project management, data…etc.);2025-04-03;Rekrute;Lead Technologique IT;Informatique;3
;Lead of Process Excellence & Innovation | Benguerir (Maroc);;Lead of Process Excellence & Innovation Le Lead of Process Excellence & Innovation est responsable de la conception, de l’implémentation et du suivi des stratégies d’amélioration continue, d’innovation et d’excellence opérationnelle au sein de l’UM6P....;Bac +5 et plus;De 5 à 10 ans;CDI - Télétravail : Non;;maîtrise des outils de data analytics, bi et digitalisation des processus.;2025-04-03;Rekrute;Lead d'Excellence et d'Innovation;Innovation;3
;CoreLab Engineer | Benguerir (Maroc);;The UM6P Corelabs is seeking a dedicated and skilled Analytical Chemistry Engineer to join our team. The UM6P CoreLabs is a state-of-the-art service providing platform designed to support technical and scientific innovation at UM6P while also serving external...;Bac +5 et plus;De 3 à 5 ans;CDI - Télétravail : Non;;candidate qualifications:•    master's/engineer or degree in chemistry, biotechnology, food industry, or a related field.•    minimum of 3 years of experience in an analytical laboratory, preferably in r&d or quality control.•    proficiency in handling sophisticated equipment for chemical and biochemical characterization.•    strong expertise in method development, troubleshooting, and instrument calibration.•    familiarity with data analysis tools, chemometrics, and software interfaces for analytical instruments.•    experience with iso 17025 certification compliance is a plus.•    excellent organizational, communication, and collaboration skills (french & english proficiency required).•    ability to work independently and in a fast-paced, multi-disciplinary environment.•    strong problem-solving abilities and attention to detail.;2025-04-03;Rekrute;Ingénieur en Chimie Analytique;Innovation Scientifique;2
;DATA Scientist Angolphone (H/F) | Rabat (Maroc);;Effective collaboration alongside developers and cross-functional teams. Ability to clearly communicate technical concepts to both technical and non-technical team members. Advocate for software engineering good practices (e.g., version control,...;Bac +5 et plus;De 3 à 5 ans - De 5 à 10 ans;CDI - Télétravail : Hybride;;minimum of 5 years of experience in a data science role with a proven track record of successful projects.;2025-04-03;Rekrute;Data Scientist;Informatique;3
;Senior DATA Engineer AZURE | Technopolis (Maroc);;Senior Data Engineers for supporting the migration to the new Azure Cloud Foundation Framework • Is able to lead team of developers • Is able to provide and execute technical designs of data platform components • Is able to establish good...;Bac +4;De 5 à 10 ans;CDI - Télétravail : Hybride;;mandatory skills: • mastery in modern, cloud based data/bi technologies (data lakes, delta lakes, data warehouses, etl/elt, spark) • 7 years experience with implementing data ingestion pipelines / etls / elts • in depth knowledge of azure platform and ecosystem - storage account, cosmosdb (sql & gremlin api), event hub, app services • experience with at following azure data technologies o azure sql o azure data lake o azure databricks (sql or python, delta lake) o azure data factory o azure analysis services o experience with sql • good communication • client facing;2025-04-03;Rekrute;Ingénieur Data Azure;Informatique;4
;Scrum master | Casablanca (Maroc);;Key Responsibilities: Capgemini Engineering is looking for a Scrum Master to join our dynamic team! If you are passionate about Agile methodologies and enjoy fostering collaboration within teams, this opportunity is for you! ???? Facilitate Agile...;Bac +5 et plus;De 5 à 10 ans;CDI - Télétravail : Hybride;;? has solid experience as a scrum master in an agile environment ? is proficient in jira for backlog management and sprint planning ? has basic knowledge of data concepts (experience in data is a plus but not mandatory) ? jira, confluence – agile project management ? strong communication & leadership ? understanding of data workflows (nice to have);2025-04-02;Rekrute;Maître Scrum;Développement Logiciel;2
;Administrateur Systèmes, Réseaux et Virtualisation | Casablanca (Maroc);;En tant qu' Administrateur Systèmes & Réseaux vos missions seront les suivantes: Installer, mettre en production, exploiter et assurer le support pour les systèmes d’exploitation des serveurs, les systèmes de...;Bac +5 et plus;De 5 à 10 ans;CDI - Télétravail : Non;;connaissance larges en solutions d’infrastructure notamment sur les data centres;2025-04-02;Rekrute;Administrateur Systèmes et Réseaux;Informatique;2
;Senior Full Stack Python Software Developer | Sala al Jadida (Maroc);;Are you a passionate and experienced Senior Full Stack Python Software Developer seeking a challenging and rewarding opportunity? Do you thrive in a dynamic environment where innovation is key? If so, this is your chance to make a real impact! We are looking...;Bac +5 et plus;De 5 à 10 ans - De 10 à 20 ans;CDI - Télétravail : Oui 100%;;javascript / html / css: required to be able to develop and deploy frontend webpages, dashboards, and ui's for our internal tools and applications. knowledgable about developing database driven dashboards, and creating mapping interfaces using libraries such as leaflet and mapbox.;2025-04-02;Rekrute;Développeur Full Stack Python;Informatique;4
;QMS Analyst | Rabat (Maroc);;Evaluate the performance of the Quality Management System using key metrics and data. Analyze trends in quality data to identify areas for improvement. Process Support & Improvement: Collaborate with various departments to streamline processes and...;Bac +5 et plus;De 3 à 5 ans;CDI - Télétravail : Hybride;;proficiency with data analysis tools (e.g., excel, power bi, minitab). strong organizational and analytical skills. excellent communication and problem-solving abilities. cad catia & ou nx plm microsoft office familiarity with qms standards like iso 9001 and iatf 16949 certifications in iso auditing, six sigma, or related quality disciplines. proficiency in quality analysis tools (e.g., fmea, 8d, spc).;2025-03-28;Rekrute;Analyste Qualité;Informatique;3
;Agente Administrativo - Spanish Speaking | Tétouan (Maroc);;Estamos en búsqueda de un/a administrativo/a para unirse a nuestro equipo y brindar soporte en la gestión de tareas administrativas y operativas. La persona seleccionada será responsable de la revisión y organización de...;Bac +2;De 1 à 3 ans;CDI - Télétravail : Hybride;;;2025-03-27;Rekrute;Administrateur Bilingue;Administration;1
;Administrative Agent - Italien speaking | Tétouan (Maroc);;We are looking for an administrative agent to join our team and provide support in the management of administrative and operational tasks. Responsabilities : • Manage inbound and/or outbounds calls and communications. • Follow various...;Bac +2;De 1 à 3 ans;CDI - Télétravail : Hybride;;;2025-03-27;Rekrute;Administrative Agent;Administration;1
;Administrative Agent - German speaking | Tétouan (Maroc);;We are looking for an administrative agent to join our team and provide support in the management of administrative and operational tasks. Responsabilities : • Manage inbound and/or outbounds calls and communications. • Follow various...;Bac +2;De 1 à 3 ans;CDI - Télétravail : Hybride;;;2025-03-27;Rekrute;Administrative Agent;Administration;1
;Administrative Agent - English Speaking | Tétouan (Maroc);;We are looking for an administrative agent to join our team and provide support in the management of administrative and operational tasks. Responsabilities : • Manage inbound and/or outbounds calls and communications. • Follow various...;Bac +2;De 1 à 3 ans;CDI - Télétravail : Hybride;;;2025-03-27;Rekrute;Agent Administratif;Service Client;1
;Agent Adminitratif | Tétouan (Maroc);;Nous recherchons des opérateurs dynamiques et motivés pour rejoindre notre groupe. Vous aurez pour mission de gérer les appels entrants et sortants, d’assister les clients dans leurs demandes et de leur fournir des informations...;Bac +2;De 1 à 3 ans;CDI - Télétravail : Hybride;;;2025-03-27;Rekrute;Agent Administratif;Service Client;1
;Back Office Administrator - German speaking | Tétouan (Maroc);;We are looking for an experienced highly organised and detail-oriented Office Administrator to join our team. The perfect candidate must be able to communicate clearly and effectively with both our employees and clients, with a positive attitude and a desire...;Bac +2;De 3 à 5 ans;CDI - Télétravail : Hybride;;;2025-03-27;Rekrute;Administrateur Back Office;Administration;1
;Back Office Administrator - Italien speaking | Tétouan (Maroc);;We are looking for an experienced highly organised and detail-oriented Office Administrator to join our team. The perfect candidate must be able to communicate clearly and effectively with both our employees and clients, with a positive attitude and a desire...;Bac +2;De 3 à 5 ans;CDI - Télétravail : Hybride;;;2025-03-27;Rekrute;Administrateur Back Office;Administration;1
;Agent(e) Back Office - Spanish Speaking | Tétouan (Maroc);;Buscamos un Agente Back Office de Atención al Cliente para unirse a nuestro dinámico equipo. El candidato ideal debe ser un apasionado de la excelencia en el servicio al cliente, capaz de resolver problemas con eficacia y mantener una...;Bac +2;De 3 à 5 ans;CDI - Télétravail : Hybride;;;2025-03-27;Rekrute;Spécialiste Back Office;Service Client;1
;Back Office Administrator - English Speaking | Tétouan (Maroc);;We are looking for an experienced highly organised and detail-oriented Office Administrator to join our team. The perfect candidate must be able to communicate clearly and effectively with both our employees and clients, with a positive attitude and a desire...;Bac +2;De 3 à 5 ans;CDI - Télétravail : Hybride;;;2025-03-27;Rekrute;Administrateur Back Office;Administration;2
;Agent Back Office | Tétouan (Maroc);;Nous sommes à la recherche d’un(e) Agent Back Office en Service Client pour rejoindre notre équipe dynamique. Le candidat idéal devrait être passionné par l’excellence du service client, capable de...;Bac +2;De 3 à 5 ans;CDI - Télétravail : Hybride;;;2025-03-27;Rekrute;Spécialiste Back Office;Service Client;1
;CAD Technician | Tétouan (Maroc);;Main Responsibilities:   Design and model plastic and metal components using CATIA V5, ensuring compliance with automotive standards. Integrate electrical components (ECUs, antennas, screens, amplifiers, etc.) into vehicles. Conduct...;Bac +5 et plus;De 1 à 3 ans;CDI - Télétravail : Hybride;;;2025-03-27;Rekrute;Technicien CAD;Informatique;2
;Business Process Service Manager | Tétouan (Maroc);;Mission: Driving the initiation and stabilization of operations by building teams, establishing processes, implementing control measures, and maintaining strong client relationships. Managing operations, monitoring performance, and enhancing services while...;Bac +5 et plus;De 5 à 10 ans;CDI - Télétravail : Non;;;2025-03-27;Rekrute;Gestionnaire de Processus d'Entreprise;Services;3
;Architecte Cloud DATA/BIG DATA (F/H) | Casablanca (Maroc);;En qualité d'Architecte Cloud DATA/BIG DATA, vous participez aux projets internationaux DATA/BIG Data (Cloud, Hybride, On premise). Votre expertise permettra d'analyser et de répondre aux besoins de nos clients avec une vision...;Bac +5 et plus;De 5 à 10 ans - De 10 à 20 ans;CDI - Télétravail : Hybride;;**formation et expérience** - bac +5 en informatique - expérience significative en architecture cloud et data/big data;2025-03-26;Rekrute;Architecte Cloud Data;Informatique;5
;Consultant BI / Big DATA | Rabat (Maroc);;DXC IT Services recrute pour son compte un référent BI / Big Data avec comme missions : • Support de niveau 3 des applications (fonctionnel / technique) • Administrer, faire évoluer, consolider les outils de reporting et...;Bac +4;De 3 à 5 ans - De 5 à 10 ans;CDI - Télétravail : Hybride;;titulaire d'un bac+5 en informatique, vous disposez de plus de 5 ans d'expérience en support technico-fonctionnel, spécifiquement dans le domaine des solutions bi / big data.;2025-03-25;Rekrute;Consultant BI/Big Data;Informatique;5
;Consultant DATA (Semarchy,Snowflake,Informatica) | Rabat (Maroc);;Intégration, développement, support et maintenance des systèmes de Reporting décisionnels et opérationnels (Conception, Gestion, Optimisation et traitement de données) Rédaction des...;Bac +4;De 1 à 3 ans - De 3 à 5 ans;CDI - Télétravail : Hybride;;;2025-03-25;Rekrute;Consultant Data;Informatique;5
;Architecte Solutions | Technopolis (Maroc);;Vos missions principales en tant qu’architecte Solution seront : *  Exercer un regard critique face aux enjeux *  Analyser et Réaliser un diagnostic de la situation rencontrée et le...;Bac +5 et plus;De 5 à 10 ans - De 10 à 20 ans;CDI - Télétravail : Hybride;;compétences techniques *  bonne connaissance des activités et des technologies de modernisation des architectures et des solutions logicielles *  connaissance et pratique de l’architecture logicielle -  structuration et découpage des applications en composants *  bonne connaissance des solutions technologiques clefs d’une architecture moderne et des modes d’intégration : -  esb, mdm, bpmn, api, micro services… *  maitrise des couches services (data et échanges inter applicatif) -  bases de données (sql/ nosql…), bus d’évènements… *  connaissance des patterns architecturaux -  lamp lamj, container et des principales logiques d’offres virtualisées : iaas, paas *  maitrise des chaines d'intégration et de déploiement des applications -  outillage (git, maven, jenkins,…) -  environnement d'hébergement dont ci/cd *  connaissance des principes d’exploitation, des contraintes sécurités, de la gestion de flux réseaux et des systèmes de monitoring *  maitrise des systèmes de gestion des flux fw lb y compris virtualisés compétences opérationnelles *  adaptabilité et curiosité technique pour une optimisation du changement *  aptitude à développer ses connaissances *  polyvalence et goût pour la technique et créativité pour identifier les solutions techniques appropriées *  être force de proposition et d'innovation à travers le partage, la veille et le conseil permanents *  savoir communiquer et rassurer les clients en contexte de crise opérationnelle *  esprit d’analyse et de synthèse qualités   * bon sens relationnel et bon sens du service   * autonome, réactif   * rigueur et esprit critique   * capacité à travailler en équipe pluridisciplinaire   * maitrise de l’anglais indispensable;2025-03-25;Rekrute;Architecte Solution;Informatique;3
